### Sheet1
page | object/name | object location | code location | object problem  | code problem  | etc |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
http://130.185.73.167:8080/fa/login.html | دکمه ثبت نام کنید | پایین صفحه | <div class="mt-6 text-center"> | لینک اشتباه عدم کار | href="#" |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
http://130.185.73.167:8080/fa/login.html | دکمه تویتر | پایین صفحه | <div class="mt-6 grid grid-cols-3 gap-3"> | لینک اشتباه عدم کار نیاز به حذف | href="#" |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
http://130.185.73.167:8080/fa/login.html | دکمه ضربدر | پایین صفحه | <div class="mt-6 grid grid-cols-3 gap-3"> | لینک اشتباه عدم کار نیاز به حذف | href="#" |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
http://130.185.73.167:8080/fa/login.html | دکمه گیت هاب | پایین صفحه | <div class="mt-6 grid grid-cols-3 gap-3"> | لینک اشتباه عدم کار نیاز به حذف | href="#" |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
http://130.185.73.167:8080/fa/login.html | ایکون اضافه هیدن پسسورد | تکس باکس پسسورد | <div class="relative"> id=password | اضافه میباشد | <div class="absolute input-icon top-1/2 transform -translate-y-1/2 text-gray-400"></div> | یک دکمه اضافه در تکس باکس پسسورد به هنگام تایپ در سمت چپ ظاهر شده که در صورت استفاده از هیدن باتن سمت چپ از بین میرود مشکل ممکن است ناشی از المنت خالی دیو یا کامند سی اس اس اینپوت ایکون نیز باشد |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
http://130.185.73.167:8080/fa/login.html | دکمه ورود به حساب | اخر فرم ورود | <form class="space-y-5" id="password-form"> | به هم ریختگی متن بعد از کلیک |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
http://130.185.73.167:8080/fa/login.html | لینک فراموشی رمز عبور | در فرم ورود | <div class="text-sm"> | لینک اشتباه عدم کار | href="#" |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
http://130.185.73.167:8080/fa/login.html | متن ارور تکس باکس خالی | در قسمت ورود با پیامک | <p class="error-message" id="mobile-error"> | به هم ریختگی متن |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
http://130.185.73.167:8080/fa/login.html | placeholder | در قسمت ورود با پیامک | <input type="tel" id="mobile" | اورلپ کردن واترمارک با ایکون تلفن  | <input type="tel" id="mobile" class="w-full pe-12 ps-4 py-3 border rounded-xl focu |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
http://130.185.73.167:8080/fa/login.html | تکس باکس شماره تماس | در قسمت ورود با پیامک | <input type="tel" id="mobile" | اورلپ کردن نوشته داخل تکس باکس با ایکون تلفن |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |  |
