page,object/name,object location in page,code location,object problem ,code problem ,etc,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-index.html#,site tab name and addrese bar,<head> section,line 1 to 21,name,,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-index.html#,search bar,top,line 486,not working,idk,???? ???? ?? ?? ????? ????? ???? ??? ??? ??? ????? ???? ????? ????? ????? ?????? ????? ?? ????? ??? ,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-index.html#,notification slidbar (delete needed),top left,line 1255 to 1329,delete button not working in the slid bar notification menu dissfunction,idk,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-index.html#,messege slidbar (delete needed),top left,1173 to 1251,delete button not working in the slid bar notification menu dissfunction,dik,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-index.html#,???? ?????? ??????,top left,line 586 to 593,not working,not linked,???? ???? ???? ???? ??? ???? ?????? ????? ??? ,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-index.html#,profile drop down menu ( top left ),drop down menu,profile link 538 to 547,not working,"href=""#""",?? ???? ???? ???? ???? ,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-index.html#,,drop down menu,settings link 549 to 560,not working,"href=""#""",,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-index.html#,,drop down menu,logout link 562 to 575,not working,"href=""#""",,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-index.html#,,drop down menu,(settings icon) line 550 to 551,looks wrong,overlap maybe?,????? ????? ?? ???? ???? ????? ?? ????? ??? ?? ???? ?????? ????? ??? ??? ???????? ??? ?? ?? ?? ?????,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-index.html#,scrollbars,on the menu and left,page content,theme mismatch,,?? ???? ???? ?? ????? ?????? ??? ?? ???????? ?? ?? ??? ?? ????? ????? ???? ?? ??????,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-index.html#,div ?????? ??? ???,top right,line 598 to 616,no need for it now,delete required  ,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-index.html#,???? ?????? ??? ?? ??????? ???? ,top right,line 632,not linked,"href=""#""",,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-index.html#,???? ?????? ??? ?? ????? ???? ?? ,top left,line 650,not linked,"href=""#""",,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-index.html#,div ?????? ??? ?? ??,top left,line 654 to 675,no need for it now,delete required  ,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-index.html#,div x2 (chart and transactions ),middle,line 678 to 772,no need for it now,delete required  ,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-index.html#,???? ?????? ??? ?? ??????? ????,middle,line 777 to 778,not linked,"href=""#""",??? ???? ?? ???? ?????? ?? ?? ?? ?????? ?????? ????? ????? ??? ???????? ????      <!-- Recent orders --> ?? ???? ??? ??,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-index.html#,???? ??? ?????? ?? ??????? ???? (X3),middle,line 808 and 827 and 846,not linked,"href=""#""",,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-index.html#,div ??????? ???????? ???? ???,bottom,line 859 to 1170,?? ???? ???? ??? ???? ????? ????.,,?? ???? ??????? ???? ??. ??? ?? ????? ??????,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-index.html#,???? ?????? ??? ?? ??????? ???????? ???? ???,bottom,line 863 to 864,not linked,"href=""#""",,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-index.html#,???? ??? ???? ??????? ???????? x4,bottom,line 870 to 1170,No webpage was found for the web address: http://130.185.73.167:8080/product/......,,?? ???? ???? ?? ???? ??? ???? ????? ? ???? ????? ???? ?? ????? ??? ??? ?????? ??? ??? ???? ????? ?? ?? ???? ????,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-index.html#,???? ??? ?????? ?? ????? ???? x4,bottom,line 870 to 1170,???? ?????? ?? ?????? ???? ????? ????,,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-index.html#,???? ??? ?????? ?????? x4,bottom,line 870 to 1170,,,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-index.html#,???? ??? ?????? ????? x4,bottom,line 870 to 1170,,,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-index.html#,??? ???? ???? ?? x4,bottom,line 870 to 1170,??????? ???? ???? ?? ?? ??? ????,,????? ???? ?? ???? ??? ?????? ????? ???? ???? ??? ? ????? ???? ????,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-index.html#,???? ???? ?? ?????? ?? ??? ???? x4,bottom,line 870 to 1170,?? ???? ??? ??? ???? ???? ??? ???? ??? ?????? ?? ??? ???? ? ????? ???? ?????? ,,???? ?????? ??? ??????? ?? ???? ??? ?????,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-index.html#,id mismatch ,top right and top left,line 528 and 583 and 452,??? ?? ????? ???? ????? ???? ????,,??? ????? ?? ??? ?????? ??? ??? ???????? ????? ?? ??? ,,,,,,,,,,,,,,,,,,,,
,????? ???? ??????? ? ?????? ???,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,???? ??????? ??? ????? ??? ???? ??? ??? ???? ,,,,,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-profile.html,kickout bug ,...,...,...,?? ????? ???? ??? ??? ???? ??? ???? ????? ?? ??? ??????,???? 3:49 ????? ??? ????? ????? ? ???? ( ???? ??? ?????? ) ????? 2 ???? ? 50 ????? ??? ??? ?? ?????,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-profile.html,dashboard bug,top right,line 44 to 54,?? ???? ???? ???? ??? ? ?????? ?? ?? ???? ?? ??????,,?? ?? ????? ???? ?? ????? ??? ???? ??? ?? ???? ????? ?? ??? ???? ??? ???...?? ??? ??? ????? ?? ?? ????? ?? ?? ??????? ???? ?? ? ??? ????? ?????? ??? ?? ??? ???? ????? ?? ?????? ????? ?? ???? ?????? ,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-profile.html,unknown error,top right,script part,??? ?? 3 ????? ?? ???? ??? ?? ??????? ??? ??????? ?? ???? ???? ?? ???? ?? ?? ????? ? ????? ???? ???? ?? ????.,???? ??? ?? ??? ????? ??? ???? ????? ??? ???? ???? ??? ?? ?? ??? ?? ???? ?????? ????? ???. ?????? ???? ?? ?????? ?? ?????? ,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-profile.html,profile drop down,top left,line 535 to 537,???? ?? ???? ??????? ????? ??? ??????,??? ????? ?? ???? ???? ?? ??? ????? ?? ???? ???????,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-profile.html,???? ???????,top left,line 587 to 592,??? ?????? ???? ??? ??,,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-profile.html,div ????? ???? ,left side,line  671 to 716,??? ???? ?? ,,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-profile.html, ??????? ????,???,line 629 to 632,"value=""????""",,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-profile.html,,??? ????????,line 633 to 636,"value=""?????""",,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-profile.html,,??? ?????????? ,line 638 to 641,"value=""maryam.mohammadi@example.com"">",??? ??? ???? ???? ?????? ???? ?? ?? ???? ?????? ?? ?????? ?? ?? ?? ??? ?? ?? ??? ??? ?? ????,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-profile.html,,????? ??????,line 643 to 646,"value=""09123456789""",,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-profile.html,,????? ????,line 647 to 650,"value=""1370/05/12""",,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-profile.html,,?? ???,line 652 to 655," value=""1234567890""",,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-profile.html,,???? ????? ??????? ,line 657 to 660,??? ?????? ???? ???? ????? ???? ,,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-profile.html,,???? ????? ?????,line 622 to 624,??? ?????? ? ???? ????? ???? ???? ?? ???? ??? ???? ? ?? ????? ????? ???? ???? ,??? ???? ?? ???? ???? ?? ??? ??? ??? ?? ?? ??? ???? ?? ???? ,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-profile.html,,????? ???? ????? ?????,line 616 to 621,??? ?????? ? ???? ???? ????? ???? ,,,,,,,,,,,,,,,,,,,,,,
,????? ???? ???????,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,???? ????? ?? ( ???? ????? ?? ) ??? ?? ???? ??? ??? ????,,,,,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-order.html,unknown error ,top left ,script part,???? ???? ?? ??? 3 ????? ?????? ???? ? ???? ?? ?? ????? ,???? ????? ?? 33 ????,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-order.html,filter section div (delete),top,line 580 to 636,no need for it ,delete,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-order.html,??? ??????? ????,???? ???,line 642,???? ?? ??? ?????? ?? ?? ???? ?????? ????? ????. ,,?????? ??? ???? ?? ??? ? ??? ??? ?????? ???? ???? ?? ?? ??? ??? ?? ??????? ,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-order.html,,???? ????? ??????,line 643,,,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-order.html,,???? ????? ???,line 644,,,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-order.html,,???? ????? ?????,...,?? ??? ?? ????? ????? ???? ????? ???? ?? ?????? ? ???????? ??? ???,,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-order.html,,??? ?? ?? ????? ??? ???,line 658 to 767,??? ?? ???? ?? ????? ?? ?? ????? ?? ?? ?? <tbody> ??? ? ???? ??? ? ??? ???? ???? ??? ????? ???? ?? ???? ??? ?? ???? ?????? ??? ???? ??? ???? ?? ?????? ???,,<!-- List of orders -->,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-order.html,,????? ????? ????,line 771,??? ??????? ???? ???? ???? ??? ???? ??? ? ?? 1 ????? ?????? ???? ??? ???? 1 ?? 1  ???? ??? ???? ??? ?? ???? ???? ?????? ????? ???? ???? ???? ??? ???? ???,,?? ?? ???? ???? ?????? ????? ?? ????? ???? ???? ??? ???? ???? ??,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-order.html,,???? ????,line 772 to 785,???? ?? ??? ?????? ? ?????? ??? ??? ??? ???? ???? ???? ??? ???? ?? ???? ???? ???? ?? ???? ???? ???? ??? ????? ??? ???? ????? ? ???? ?????? ???? ??  ,,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-order.html,,???? 1 ? 2,,,,,,,,,,,,,,,,,,,,,,,,
http://130.185.73.167:8080/fa/user-panel-order.html,,???? ????,,,,,,,,,,,,,,,,,,,,,,,,
